,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
436,Don't Be Afraid of the Dark,FD,12900000.0,2011.0,43.0,"Aug 26, 2011",Don't Be Afraid of the Dark,25000000.0,24046682.0,39126427.0,0.96186728,0.516,1.56505708
438,A Very Harold & Kumar 3D Christmas,WB,326000.0,2011.0,53.0,"Nov 4, 2011",A Very Harold & Kumar 3D Christmas,20000000.0,35061031.0,36265745.0,1.75305155,0.0163,1.81328725
439,My Week with Marilyn,Wein.,20500000.0,2011.0,22.0,"Nov 23, 2011",My Week with Marilyn,10000000.0,14597405.0,34240572.0,1.4597405,2.05,3.4240572
440,The Sitter,Fox,4500000.0,2011.0,32.0,"Dec 9, 2011",The Sitter,25000000.0,30542576.0,38749404.0,1.22170304,0.18,1.54997616
445,I Don't Know How She Does It,Wein.,20900000.0,2011.0,58.0,"Sep 16, 2011",I Don't Know How She Does It,24000000.0,9659074.0,24474463.0,0.4024614166666667,0.8708333333333333,1.0197692916666667
446,What's Your Number?,Fox,16399999.0,2011.0,24.0,"Sep 30, 2011",What's Your Number?,20000000.0,14011084.0,30163785.0,0.7005542,0.81999995,1.50818925
447,Drive Angry,Sum.,18200000.0,2011.0,91.0,"Feb 25, 2011",Drive Angry,50000000.0,10721033.0,41042583.0,0.21442066,0.364,0.82085166
449,A Dangerous Method,SPC,21800000.0,2011.0,69.0,"Nov 23, 2011",A Dangerous Method,20000000.0,5702083.0,14807531.0,0.28510415,1.09,0.74037655
451,The Eagle,Focus,7600000.0,2011.0,50.0,"Feb 11, 2011",The Eagle,25000000.0,19490041.0,38993548.0,0.77960164,0.304,1.55974192
453,Apollo 18,W/Dim.,7900000.0,2011.0,94.0,"Sep 2, 2011",Apollo 18,5000000.0,17686929.0,26517819.0,3.5373858,1.58,5.3035638
454,Biutiful,RAtt.,20000000.0,2011.0,44.0,"Jan 28, 2011",Biutiful,35000000.0,5101237.0,24687524.0,0.14574962857142856,0.5714285714285714,0.7053578285714286
455,Your Highness,Uni.,3300000.0,2011.0,78.0,"Apr 8, 2011",Your Highness,50000000.0,21596445.0,26121638.0,0.4319289,0.066,0.52243276
456,The Rum Diary,FD,10800000.0,2011.0,16.0,"Oct 28, 2011",The Rum Diary,45000000.0,13109815.0,21544732.0,0.29132922222222224,0.24,0.4787718222222222
459,Warrior,LGF,9400000.0,2011.0,74.0,"Sep 9, 2011",Warrior,25000000.0,13657115.0,24215385.0,0.5462846,0.376,0.9686154
460,Young Adult,Par.,6600000.0,2011.0,94.0,"Dec 9, 2011",Young Adult,12000000.0,16311571.0,22750356.0,1.3592975833333334,0.55,1.895863
464,The Guard,SPC,14200000.0,2011.0,54.0,"Jul 29, 2011",The Guard,6000000.0,5359774.0,21197454.0,0.8932956666666667,2.3666666666666667,3.532909
