,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
81,135.0,Drama,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
81,135.0,Romance,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
82,99.0,Drama,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
83,118.0,Drama,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
83,118.0,Fantasy,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
84,93.0,Drama,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
84,93.0,Romance,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
84,93.0,Sci-Fi,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
85,98.0,Comedy,Larry Crowne,36400000.0,Larry Crowne,30000000.0,35608245.0,61449135.0,1.1869415,1.2133333333333334,2.0483045
85,98.0,Drama,Larry Crowne,36400000.0,Larry Crowne,30000000.0,35608245.0,61449135.0,1.1869415,1.2133333333333334,2.0483045
85,98.0,Romance,Larry Crowne,36400000.0,Larry Crowne,30000000.0,35608245.0,61449135.0,1.1869415,1.2133333333333334,2.0483045
86,110.0,Action,Act of Valor,11300000.0,Act of Valor,12000000.0,70012847.0,82497035.0,5.834403916666667,0.9416666666666667,6.874752916666667
86,110.0,Adventure,Act of Valor,11300000.0,Act of Valor,12000000.0,70012847.0,82497035.0,5.834403916666667,0.9416666666666667,6.874752916666667
86,110.0,Drama,Act of Valor,11300000.0,Act of Valor,12000000.0,70012847.0,82497035.0,5.834403916666667,0.9416666666666667,6.874752916666667
88,101.0,Drama,Shame,13800000.0,Shame,6500000.0,4002293.0,20412841.0,0.6157373846153846,2.123076923076923,3.1404370769230767
89,90.0,Drama,Shame,13800000.0,Shame,6500000.0,4002293.0,20412841.0,0.6157373846153846,2.123076923076923,3.1404370769230767
93,114.0,Action,A Walk Among the Tombstones,26900000.0,A Walk Among the Tombstones,28000000.0,26017685.0,62108587.0,0.9292030357142858,0.9607142857142857,2.2181638214285715
93,114.0,Crime,A Walk Among the Tombstones,26900000.0,A Walk Among the Tombstones,28000000.0,26017685.0,62108587.0,0.9292030357142858,0.9607142857142857,2.2181638214285715
93,114.0,Drama,A Walk Among the Tombstones,26900000.0,A Walk Among the Tombstones,28000000.0,26017685.0,62108587.0,0.9292030357142858,0.9607142857142857,2.2181638214285715
94,92.0,Comedy,Furry Vengeance,18600000.0,Furry Vengeance,35000000.0,17630465.0,39340177.0,0.5037275714285714,0.5314285714285715,1.124005057142857
94,92.0,Family,Furry Vengeance,18600000.0,Furry Vengeance,35000000.0,17630465.0,39340177.0,0.5037275714285714,0.5314285714285715,1.124005057142857
99,106.0,Biography,The Runaways,1100000.0,The Runaways,9500000.0,3573673.0,5278632.0,0.37617610526315787,0.11578947368421053,0.5556454736842106
99,106.0,Drama,The Runaways,1100000.0,The Runaways,9500000.0,3573673.0,5278632.0,0.37617610526315787,0.11578947368421053,0.5556454736842106
99,106.0,Music,The Runaways,1100000.0,The Runaways,9500000.0,3573673.0,5278632.0,0.37617610526315787,0.11578947368421053,0.5556454736842106
100,108.0,Adventure,The Runaways,1100000.0,The Runaways,9500000.0,3573673.0,5278632.0,0.37617610526315787,0.11578947368421053,0.5556454736842106
101,89.0,Comedy,The Big Wedding,24700000.0,The Big Wedding,32500000.0,21819348.0,48425971.0,0.6713645538461539,0.76,1.4900298769230769
101,89.0,Drama,The Big Wedding,24700000.0,The Big Wedding,32500000.0,21819348.0,48425971.0,0.6713645538461539,0.76,1.4900298769230769
101,89.0,Romance,The Big Wedding,24700000.0,The Big Wedding,32500000.0,21819348.0,48425971.0,0.6713645538461539,0.76,1.4900298769230769
102,89.0,Horror,Hell Fest,7100000.0,Hell Fest,5500000.0,11107431.0,18119231.0,2.019532909090909,1.290909090909091,3.2944056363636363
107,102.0,Action,Hell or High Water,10900000.0,Hell or High Water,12000000.0,27007844.0,37584304.0,2.2506536666666666,0.9083333333333333,3.1320253333333334
