,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
579,95.0,Animation,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
579,95.0,Comedy,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
580,59.0,Family,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
581,75.0,Biography,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
581,75.0,Documentary,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
581,75.0,History,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
582,93.0,Crime,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
582,93.0,Drama,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
584,113.0,Adventure,Alice Through the Looking Glass,222400000.0,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,0.45319047647058824,1.3082352941176472,1.6289888941176471
584,113.0,Family,Alice Through the Looking Glass,222400000.0,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,0.45319047647058824,1.3082352941176472,1.6289888941176471
584,113.0,Fantasy,Alice Through the Looking Glass,222400000.0,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,0.45319047647058824,1.3082352941176472,1.6289888941176471
588,102.0,Action,Skyscraper,236400000.0,Skyscraper,125000000.0,68420120.0,304115534.0,0.54736096,1.8912,2.432924272
588,102.0,Adventure,Skyscraper,236400000.0,Skyscraper,125000000.0,68420120.0,304115534.0,0.54736096,1.8912,2.432924272
588,102.0,Thriller,Skyscraper,236400000.0,Skyscraper,125000000.0,68420120.0,304115534.0,0.54736096,1.8912,2.432924272
590,125.0,Comedy,Valentine's Day,106000000.0,Valentine's Day,52000000.0,110485654.0,217569328.0,2.1247241153846153,2.0384615384615383,4.184025538461539
590,125.0,Romance,Valentine's Day,106000000.0,Valentine's Day,52000000.0,110485654.0,217569328.0,2.1247241153846153,2.0384615384615383,4.184025538461539
591,95.0,Action,Megamind,173500000.0,Megamind,130000000.0,148415853.0,321887208.0,1.1416604076923076,1.3346153846153845,2.476055446153846
591,95.0,Animation,Megamind,173500000.0,Megamind,130000000.0,148415853.0,321887208.0,1.1416604076923076,1.3346153846153845,2.476055446153846
591,95.0,Comedy,Megamind,173500000.0,Megamind,130000000.0,148415853.0,321887208.0,1.1416604076923076,1.3346153846153845,2.476055446153846
597,105.0,Action,Jack Ryan: Shadow Recruit,84900000.0,Jack Ryan: Shadow Recruit,60000000.0,50577412.0,131377412.0,0.8429568666666667,1.415,2.189623533333333
597,105.0,Drama,Jack Ryan: Shadow Recruit,84900000.0,Jack Ryan: Shadow Recruit,60000000.0,50577412.0,131377412.0,0.8429568666666667,1.415,2.189623533333333
597,105.0,Thriller,Jack Ryan: Shadow Recruit,84900000.0,Jack Ryan: Shadow Recruit,60000000.0,50577412.0,131377412.0,0.8429568666666667,1.415,2.189623533333333
600,123.0,Biography,Black Mass,37200000.0,Black Mass,53000000.0,62575678.0,98837872.0,1.1806731698113206,0.7018867924528301,1.8648655094339623
600,123.0,Crime,Black Mass,37200000.0,Black Mass,53000000.0,62575678.0,98837872.0,1.1806731698113206,0.7018867924528301,1.8648655094339623
600,123.0,Drama,Black Mass,37200000.0,Black Mass,53000000.0,62575678.0,98837872.0,1.1806731698113206,0.7018867924528301,1.8648655094339623
601,123.0,Action,Suicide Squad,421700000.0,Suicide Squad,175000000.0,325100054.0,746059887.0,1.8577145942857143,2.4097142857142857,4.263199354285715
601,123.0,Adventure,Suicide Squad,421700000.0,Suicide Squad,175000000.0,325100054.0,746059887.0,1.8577145942857143,2.4097142857142857,4.263199354285715
601,123.0,Fantasy,Suicide Squad,421700000.0,Suicide Squad,175000000.0,325100054.0,746059887.0,1.8577145942857143,2.4097142857142857,4.263199354285715
602,94.0,Action,Journey 2: The Mysterious Island,231400000.0,Journey 2: The Mysterious Island,79000000.0,103860290.0,318146162.0,1.3146872151898734,2.929113924050633,4.027166607594936
602,94.0,Adventure,Journey 2: The Mysterious Island,231400000.0,Journey 2: The Mysterious Island,79000000.0,103860290.0,318146162.0,1.3146872151898734,2.929113924050633,4.027166607594936
602,94.0,Comedy,Journey 2: The Mysterious Island,231400000.0,Journey 2: The Mysterious Island,79000000.0,103860290.0,318146162.0,1.3146872151898734,2.929113924050633,4.027166607594936
603,131.0,Action,Battleship,237600000.0,Battleship,220000000.0,65233400.0,313477717.0,0.2965154545454545,1.08,1.4248987136363636
603,131.0,Adventure,Battleship,237600000.0,Battleship,220000000.0,65233400.0,313477717.0,0.2965154545454545,1.08,1.4248987136363636
603,131.0,Sci-Fi,Battleship,237600000.0,Battleship,220000000.0,65233400.0,313477717.0,0.2965154545454545,1.08,1.4248987136363636
605,115.0,Action,Safe House,81700000.0,Safe House,85000000.0,126181630.0,208542162.0,1.4844897647058823,0.9611764705882353,2.4534372
605,115.0,Adventure,Safe House,81700000.0,Safe House,85000000.0,126181630.0,208542162.0,1.4844897647058823,0.9611764705882353,2.4534372
605,115.0,Crime,Safe House,81700000.0,Safe House,85000000.0,126181630.0,208542162.0,1.4844897647058823,0.9611764705882353,2.4534372
606,109.0,Adventure,A Wrinkle in Time,32200000.0,A Wrinkle in Time,103000000.0,100478608.0,133401882.0,0.9755204660194174,0.312621359223301,1.2951639029126214
606,109.0,Family,A Wrinkle in Time,32200000.0,A Wrinkle in Time,103000000.0,100478608.0,133401882.0,0.9755204660194174,0.312621359223301,1.2951639029126214
606,109.0,Fantasy,A Wrinkle in Time,32200000.0,A Wrinkle in Time,103000000.0,100478608.0,133401882.0,0.9755204660194174,0.312621359223301,1.2951639029126214
