,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
5567,,,,,64.0,"Jul 28, 1978",National Lampoon's Animal House,3000000.0,141600000.0,141600000.0,47.2,,47.2
5568,,,,,66.0,"Aug 28, 2015",War Room,3000000.0,67790117.0,73975239.0,22.596705666666665,,24.658413
5569,,,,,68.0,"Dec 22, 1964",Goldfinger,3000000.0,51100000.0,124900000.0,17.033333333333335,,41.63333333333333
5570,,,,,70.0,"Aug 18, 2000",The Original Kings of Comedy,3000000.0,38168022.0,38236338.0,12.722674,,12.745446
5571,,,,,71.0,"Dec 18, 1957",The Bridge on the River Kwai,3000000.0,33300000.0,33300000.0,11.1,,11.1
5572,,,,,72.0,"Jan 1, 1978",Coming Home,3000000.0,32653000.0,32653000.0,10.884333333333334,,10.884333333333334
5573,,,,,73.0,"Nov 20, 1998",Waking Ned Devine,3000000.0,24793251.0,55193251.0,8.264417,,18.397750333333335
5574,,,,,74.0,"Aug 1, 1997",Air Bud,3000000.0,24646936.0,27788649.0,8.215645333333333,,9.262883
5575,,,,,75.0,"Oct 11, 2002",Bowling for Columbine,3000000.0,21576018.0,58240487.0,7.192006,,19.413495666666666
5576,,,,,76.0,"Nov 1, 1985",A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000.0,21163999.0,21163999.0,7.0546663333333335,,7.0546663333333335
5577,,,,,77.0,"Mar 7, 1986",A Room with a View,3000000.0,20966644.0,20966644.0,6.9888813333333335,,6.9888813333333335
5578,,,,,78.0,"Jun 10, 1975",Love and Death,3000000.0,20123742.0,20123742.0,6.707914,,6.707914
5579,,,,,79.0,"Aug 1, 1986",Friday the 13th Part VI: Jason Lives,3000000.0,19472057.0,19472057.0,6.490685666666667,,6.490685666666667
5580,,,,,80.0,"Aug 2, 2002",Martin Lawrence Live: RunTelDat,3000000.0,19184820.0,19184820.0,6.39494,,6.39494
5581,,,,,81.0,"Jun 15, 1960",The Apartment,3000000.0,18600000.0,24600000.0,6.2,,8.2
5582,,,,,82.0,"Sep 20, 1958",Cat on a Hot Tin Roof,3000000.0,17570324.0,17570324.0,5.8567746666666665,,5.8567746666666665
5583,,,,,83.0,"May 26, 1970",Beneath the Planet of the Apes,3000000.0,17489009.0,17489009.0,5.829669666666667,,5.829669666666667
5584,,,,,84.0,"Apr 6, 2001",Pokemon 3: The Movie,3000000.0,17052128.0,68452128.0,5.684042666666667,,22.817376
5585,,,,,85.0,"Aug 13, 1993",Jason Goes to Hell: The Final Friday,3000000.0,15935068.0,15935068.0,5.311689333333334,,5.311689333333334
5586,,,,,86.0,"Apr 27, 1990",Spaced Invaders,3000000.0,15000000.0,15000000.0,5.0,,5.0
5587,,,,,87.0,"Apr 9, 1976",Family Plot,3000000.0,13200000.0,13200000.0,4.4,,4.4
5588,,,,,88.0,"Jul 16, 1966",Torn Curtain,3000000.0,13000000.0,13000000.0,4.333333333333333,,4.333333333333333
5589,,,,,90.0,"Mar 3, 2006",Dave Chappelle's Block Party,3000000.0,11718595.0,12051924.0,3.906198333333333,,4.017308
5590,,,,,91.0,"Oct 25, 1985",Krush Groove,3000000.0,11052713.0,11052713.0,3.6842376666666667,,3.6842376666666667
5591,,,,,92.0,"Jul 7, 1960",Elmer Gantry,3000000.0,10400000.0,10400000.0,3.466666666666667,,3.466666666666667
5592,,,,,93.0,"May 8, 2009",Next Day Air,3000000.0,10027047.0,10172519.0,3.342349,,3.3908396666666665
